NOMBRE_EMPRESA;PRIMAS_2024;PRIMAS_2025;CRECIMIENTO_PORC
Adriática de Seguros, C.A.;0;0;
Altamira C.A., Seguros;699334.0483200001;2420546.21014;246
American International, C.A. de Seguros;26974.94818;137189.59227000002;409
Andes C.A., Seguros;145372.26777;218195.57047;50
Aseguradora Nacional Unida Uniseguros, S.A.;73377.89816;154494.7358;111
Atrio Seguros S.A.;228665.72546000002;527782.2323599999;131
Ávila C.A., de Seguros;30849.04087;0;-100
Banesco Seguros C.A.;1055950.82405;3420461.4652199997;224
BBVA Seguros,C.A.;99037.97223999999;206132.89343;108
Bolivariana de Seguros y Reaseguros, S.A.;5477.97714;3139.54088;-43
Capital, C.A. Seguros;1102064.51132;1476899.94518;34
Carabobo C.A., Seguros;0;0;
Caracas C.A., Seguros;7857133.34937;30790250.282909997;292
Caroní, S.A., Seguros;68202.67869;280584.04339999997;311
Catatumbo C.A., Seguros;111842.15509;659848.13165;490
Constitución C.A., Seguros;2331976.21278;7831707.492040001;236
Corporativos C.A., Seguros;6814.24449;565764.2006;8203
Estar Seguros, S.A.;1166069.77981;4478739.41293;284
Fe C.A., Seguros;100485.15864;413894.17941;312
Guayana C.A., Seguros;0;0;
Hispana de Seguros, S.A.;1409182.89999;5086606.5891;261
Horizonte, S.A. Seguros;291893.2782;833048.49716;185
Iberoamericana de Seguros C.A.;7690.62384;193046.30876999997;2410
Interbank Seguros S.A.;0;0;
Internacional, S.A. de Seguros;2025331.7473199998;8971212.188760001;343
Latitud Seguros, C.A.;301625.5429;2061550.32497;583
Mapfre La Seguridad, C.A. de Seguros;1766902.70245;6980205.847239999;295
Mercantil C.A., Seguros;10253097.69506;39620347.6776;286
Miranda, C.A Seguros;795067.56487;3216751.08135;305
Multinacional de Seguros C.A.;847.46312;0;-100
Mundial de Seguros,C.A.;482139.53807999997;2451301.21119;408
Nuevo Mundo S.A., Seguros;44190.73528;148440.34657;236
Occidental C.A., Seguros;27096.55232;81480.05902;201
Oceánica de Seguros, C.A.;1754588.9128800002;7975712.110859999;355
Oriental de Seguros C.A.;5216.3591;0;-100
Pirámide C.A., Seguros;1693463.6161300002;5798812.66528;242
Previsora, C.N.A. de Seguros;180257.49717;431531.20308000006;139
Primus Seguros C.A.;989.2722;0;-100
Proseguros, S.A.;77645.51157999999;421247.70081;443
Qualitas C.A., Seguros;408678.53994;1397751.46632;242
Real Seguros, S.A.;696136.76309;2362298.3111399994;239
Regional, C.A. de Seguros;0;0;
Seguros Seguramiga C.A.;0;1052.55556;
Universal de Seguros C.A.;11655.02383;26920.77491;131
Universitas, C.A. Seguros;978400.06985;4090254.9897299996;318
Venezolana de Seguros y Vida C.A.,;103625.62852;1139662.90022;1000
Venezuela C.A., Seguros;769642.34963;5593036.20733;627
Vértice, C.A Seguros;48365.768560000004;191230.56689000002;295
Virgen del Valle C.A., Seguros;14313.43126;20884.34333;46
Vitalicia, S.A., Seguros;1243.7205900000001;942168.9877799999;75654
Vivir Seguros C.A.;8974.54351;42931.1114;378
Zuma Seguros, C.A.;87333.96866;277985.20580000005;218
