ranking_funerario;empresa_raw;peer_id;primas_funerario_miles_bs;primas_total_personas_miles_bs;pagina_pdf;year;archivo_fuente
1;Fe C.A., Seguros;fe c a seguros;63297;69334;21;2023;seguros-en-cifra-2023.pdf
2;Mercantil C.A., Seguros;mercantil;53320;5804265;21;2023;seguros-en-cifra-2023.pdf
3;Banesco Seguros C.A;banesco;34113;521590;21;2023;seguros-en-cifra-2023.pdf
4;BBVA Seguros, C.A;bbva seguros c a;29802;47830;21;2023;seguros-en-cifra-2023.pdf
5;Mapfre La Seguridad, C.A. de Seguros;mapfre;22531;796963;21;2023;seguros-en-cifra-2023.pdf
6;Pirámide C.A., Seguros;piramide;16545;1465077;21;2023;seguros-en-cifra-2023.pdf
7;Universitas, C.A. Seguros;universitas c a seguros;16467;355820;21;2023;seguros-en-cifra-2023.pdf
8;Horizonte, S.A. Seguros;horizonte s a seguros;13230;137652;21;2023;seguros-en-cifra-2023.pdf
9;Internacional, C.A. de Seguros;La Internacional;12902;1166893;21;2023;seguros-en-cifra-2023.pdf
10;Capital C.A., Seguros;capital c a seguros;9424;14498;21;2023;seguros-en-cifra-2023.pdf
11;Oceánica de Seguros, C.A;oceanica;7247;609011;21;2023;seguros-en-cifra-2023.pdf
12;Virgen del Valle C.A., Seguros;virgen del valle c a seguros;6061;6061;21;2023;seguros-en-cifra-2023.pdf
13;Constitución C.A., Seguros;constitucion;4709;792965;21;2023;seguros-en-cifra-2023.pdf
14;Altamira C.A., Seguros;altamira c a seguros;2766;328637;21;2023;seguros-en-cifra-2023.pdf
15;Previsora, C.N.A. de Seguros;previsora c n a de seguros;2267;14048;21;2023;seguros-en-cifra-2023.pdf
16;Miranda C.A., Seguros;miranda;2247;68299;21;2023;seguros-en-cifra-2023.pdf
17;Qualitas C.A., Seguros;qualitas c a seguros;2160;268212;21;2023;seguros-en-cifra-2023.pdf
18;Venezuela C.A., Seguros;venezuela c a seguros;1505;152260;21;2023;seguros-en-cifra-2023.pdf
19;Andes C.A., Seguros;andes c a seguros;1429;53486;21;2023;seguros-en-cifra-2023.pdf
20;Nuevo Mundo S.A., Seguros;nuevo mundo s a seguros;760;16835;21;2023;seguros-en-cifra-2023.pdf
21;Atrio Seguros C.A;atrio seguros c a;678;65050;21;2023;seguros-en-cifra-2023.pdf
22;Real Seguros, S.A;real seguros;665;353270;21;2023;seguros-en-cifra-2023.pdf
23;Proseguros, S.A;proseguros s a;591;1711;21;2023;seguros-en-cifra-2023.pdf
24;Uniseguros S.A., Aseguradora Nacional Unida;uniseguros s a aseguradora nacional ;551;42443;21;2023;seguros-en-cifra-2023.pdf
25;Hispana de Seguros, C.A;hispana;235;653646;21;2023;seguros-en-cifra-2023.pdf
26;Zuma Seguros, C.A;zuma seguros c a;199;385;21;2023;seguros-en-cifra-2023.pdf
27;Venezolana de Seguros y Vida C.A;venezolana de seguros y vida c a;185;35960;21;2023;seguros-en-cifra-2023.pdf
28;Caroní, S.A., Seguros;caroni s a seguros;181;5699;21;2023;seguros-en-cifra-2023.pdf
29;Occidental C.A., Seguros;occidental c a seguros;176;3814;21;2023;seguros-en-cifra-2023.pdf
30;Catatumbo C.A., Seguros;catatumbo c a seguros;162;551;21;2023;seguros-en-cifra-2023.pdf
31;Vivir Seguros C.A;vivir seguros c a;87;1989;21;2023;seguros-en-cifra-2023.pdf
32;Iberoamericana de Seguros C.A;iberoamericana de seguros c a;35;1221;21;2023;seguros-en-cifra-2023.pdf
33;Oriental de Seguros C.A;oriental de seguros c a;35;77;21;2023;seguros-en-cifra-2023.pdf
34;Mundial, C.A. de Seguros;mundial c a de seguros;25;2970;21;2023;seguros-en-cifra-2023.pdf
35;Universal de Seguros C.A;universal de seguros c a;25;159;21;2023;seguros-en-cifra-2023.pdf
36;Ávila C.A., de Seguros;avila c a de seguros;14;1978;21;2023;seguros-en-cifra-2023.pdf
37;Adriática de Seguros, C.A;adriatica de seguros c a;0;0;21;2023;seguros-en-cifra-2023.pdf
38;American International, C.A. de Seguros;american international c a de seguro;0;1204;21;2023;seguros-en-cifra-2023.pdf
39;Bolivariana de Seguros y Reaseguros, S.A;bolivariana de seguros y reaseguros ;0;0;21;2023;seguros-en-cifra-2023.pdf
40;Carabobo C.A. Seguros;carabobo c a seguros;0;0;21;2023;seguros-en-cifra-2023.pdf
41;Caracas C.A., Seguros;caracas;0;4290532;21;2023;seguros-en-cifra-2023.pdf
42;Corporativos C.A., Seguros;corporativos c a seguros;0;116;21;2023;seguros-en-cifra-2023.pdf
43;Estar Seguros, S.A;estar seguros s a;0;214442;21;2023;seguros-en-cifra-2023.pdf
44;Guayana C.A. Seguros;guayana c a seguros;0;0;21;2023;seguros-en-cifra-2023.pdf
45;Interbank Seguros, S.A;interbank seguros s a;0;0;21;2023;seguros-en-cifra-2023.pdf
46;Latitud Seguros C.A;latitud seguros c a;0;0;21;2023;seguros-en-cifra-2023.pdf
47;Multinacional C.A. de Seguros;multinacional c a de seguros;0;0;21;2023;seguros-en-cifra-2023.pdf
48;Primus Seguros C.A;primus seguros c a;0;16;21;2023;seguros-en-cifra-2023.pdf
49;Regional C.A de Seguros;regional c a de seguros;0;0;21;2023;seguros-en-cifra-2023.pdf
50;Vértice, C.A. Seguros;vertice c a seguros;0;4443;21;2023;seguros-en-cifra-2023.pdf
51;Vitalicia, S.A., Seguros;vitalicia s a seguros;0;0;21;2023;seguros-en-cifra-2023.pdf
52;Interbank Seguros S.A;interbank seguros s a;0;0;30;2023;seguros-en-cifra-2023.pdf
53;Multinacional de Seguros C.A;multinacional de seguros c a;0;0;30;2023;seguros-en-cifra-2023.pdf
54;Regional C.A. Seguros;regional c a seguros;0;0;30;2023;seguros-en-cifra-2023.pdf
